actions,discount_factor,mc_rewards,next_obs,obs,rewards,terminal_discounts,terminal_obs,terminals
12,0.95,-0.09025,"[12, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[12, 14, 23]",False
14,0.95,-0.095,"[12, 14, -1]","[12, -1, -1]",0.0,0.9025,"[12, 14, 23]",False
23,0.95,-0.1,"[12, 14, 23]","[12, 14, -1]",-0.1,0.95,"[12, 14, 23]",True
6,0.95,-0.09025,"[6, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[6, 17, 0]",False
17,0.95,-0.095,"[6, 17, -1]","[6, -1, -1]",0.0,0.9025,"[6, 17, 0]",False
0,0.95,-0.1,"[6, 17, 0]","[6, 17, -1]",-0.1,0.95,"[6, 17, 0]",True
18,0.95,-0.09025,"[18, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[18, 0, 11]",False
0,0.95,-0.095,"[18, 0, -1]","[18, -1, -1]",0.0,0.9025,"[18, 0, 11]",False
11,0.95,-0.1,"[18, 0, 11]","[18, 0, -1]",-0.1,0.95,"[18, 0, 11]",True
18,0.95,-0.09025,"[18, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[18, 0, 6]",False
0,0.95,-0.095,"[18, 0, -1]","[18, -1, -1]",0.0,0.9025,"[18, 0, 6]",False
6,0.95,-0.1,"[18, 0, 6]","[18, 0, -1]",-0.1,0.95,"[18, 0, 6]",True
15,0.95,-0.09025,"[15, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[15, 14, 15]",False
14,0.95,-0.095,"[15, 14, -1]","[15, -1, -1]",0.0,0.9025,"[15, 14, 15]",False
15,0.95,-0.1,"[15, 14, 15]","[15, 14, -1]",-0.1,0.95,"[15, 14, 15]",True
15,0.95,-0.09025,"[15, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[15, 8, 4]",False
8,0.95,-0.095,"[15, 8, -1]","[15, -1, -1]",0.0,0.9025,"[15, 8, 4]",False
4,0.95,-0.1,"[15, 8, 4]","[15, 8, -1]",-0.1,0.95,"[15, 8, 4]",True
6,0.95,-0.09025,"[6, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[6, 3, 19]",False
3,0.95,-0.095,"[6, 3, -1]","[6, -1, -1]",0.0,0.9025,"[6, 3, 19]",False
19,0.95,-0.1,"[6, 3, 19]","[6, 3, -1]",-0.1,0.95,"[6, 3, 19]",True
12,0.95,-0.09025,"[12, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[12, 5, 11]",False
5,0.95,-0.095,"[12, 5, -1]","[12, -1, -1]",0.0,0.9025,"[12, 5, 11]",False
11,0.95,-0.1,"[12, 5, 11]","[12, 5, -1]",-0.1,0.95,"[12, 5, 11]",True
22,0.95,-0.09025,"[22, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[22, 0, 14]",False
0,0.95,-0.095,"[22, 0, -1]","[22, -1, -1]",0.0,0.9025,"[22, 0, 14]",False
14,0.95,-0.1,"[22, 0, 14]","[22, 0, -1]",-0.1,0.95,"[22, 0, 14]",True
11,0.95,-0.09025,"[11, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[11, 8, 0]",False
8,0.95,-0.095,"[11, 8, -1]","[11, -1, -1]",0.0,0.9025,"[11, 8, 0]",False
0,0.95,-0.1,"[11, 8, 0]","[11, 8, -1]",-0.1,0.95,"[11, 8, 0]",True
19,0.95,-0.09025,"[19, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[19, 20, 12]",False
20,0.95,-0.095,"[19, 20, -1]","[19, -1, -1]",0.0,0.9025,"[19, 20, 12]",False
12,0.95,-0.1,"[19, 20, 12]","[19, 20, -1]",-0.1,0.95,"[19, 20, 12]",True
15,0.95,-0.09025,"[15, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[15, 20, 13]",False
20,0.95,-0.095,"[15, 20, -1]","[15, -1, -1]",0.0,0.9025,"[15, 20, 13]",False
13,0.95,-0.1,"[15, 20, 13]","[15, 20, -1]",-0.1,0.95,"[15, 20, 13]",True
2,0.95,-0.09025,"[2, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[2, 14, 15]",False
14,0.95,-0.095,"[2, 14, -1]","[2, -1, -1]",0.0,0.9025,"[2, 14, 15]",False
15,0.95,-0.1,"[2, 14, 15]","[2, 14, -1]",-0.1,0.95,"[2, 14, 15]",True
8,0.95,-0.09025,"[8, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[8, 17, 20]",False
17,0.95,-0.095,"[8, 17, -1]","[8, -1, -1]",0.0,0.9025,"[8, 17, 20]",False
20,0.95,-0.1,"[8, 17, 20]","[8, 17, -1]",-0.1,0.95,"[8, 17, 20]",True
21,0.95,-0.09025,"[21, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[21, 8, 1]",False
8,0.95,-0.095,"[21, 8, -1]","[21, -1, -1]",0.0,0.9025,"[21, 8, 1]",False
1,0.95,-0.1,"[21, 8, 1]","[21, 8, -1]",-0.1,0.95,"[21, 8, 1]",True
24,0.95,-0.09025,"[24, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[24, 20, 2]",False
20,0.95,-0.095,"[24, 20, -1]","[24, -1, -1]",0.0,0.9025,"[24, 20, 2]",False
2,0.95,-0.1,"[24, 20, 2]","[24, 20, -1]",-0.1,0.95,"[24, 20, 2]",True
21,0.95,-0.09025,"[21, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[21, 14, 13]",False
14,0.95,-0.095,"[21, 14, -1]","[21, -1, -1]",0.0,0.9025,"[21, 14, 13]",False
13,0.95,-0.1,"[21, 14, 13]","[21, 14, -1]",-0.1,0.95,"[21, 14, 13]",True
12,0.95,-0.09025,"[12, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[12, 5, 1]",False
5,0.95,-0.095,"[12, 5, -1]","[12, -1, -1]",0.0,0.9025,"[12, 5, 1]",False
1,0.95,-0.1,"[12, 5, 1]","[12, 5, -1]",-0.1,0.95,"[12, 5, 1]",True
6,0.95,-0.09025,"[6, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[6, 17, 0]",False
17,0.95,-0.095,"[6, 17, -1]","[6, -1, -1]",0.0,0.9025,"[6, 17, 0]",False
0,0.95,-0.1,"[6, 17, 0]","[6, 17, -1]",-0.1,0.95,"[6, 17, 0]",True
6,0.95,-0.09025,"[6, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[6, 8, 12]",False
8,0.95,-0.095,"[6, 8, -1]","[6, -1, -1]",0.0,0.9025,"[6, 8, 12]",False
12,0.95,-0.1,"[6, 8, 12]","[6, 8, -1]",-0.1,0.95,"[6, 8, 12]",True
20,0.95,-0.09025,"[20, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[20, 12, 7]",False
12,0.95,-0.095,"[20, 12, -1]","[20, -1, -1]",0.0,0.9025,"[20, 12, 7]",False
7,0.95,-0.1,"[20, 12, 7]","[20, 12, -1]",-0.1,0.95,"[20, 12, 7]",True
17,0.95,-0.09025,"[17, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[17, 4, 4]",False
4,0.95,-0.095,"[17, 4, -1]","[17, -1, -1]",0.0,0.9025,"[17, 4, 4]",False
4,0.95,-0.1,"[17, 4, 4]","[17, 4, -1]",-0.1,0.95,"[17, 4, 4]",True
9,0.95,-0.09025,"[9, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[9, 0, 5]",False
0,0.95,-0.095,"[9, 0, -1]","[9, -1, -1]",0.0,0.9025,"[9, 0, 5]",False
5,0.95,-0.1,"[9, 0, 5]","[9, 0, -1]",-0.1,0.95,"[9, 0, 5]",True
10,0.95,-0.09025,"[10, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[10, 7, 20]",False
7,0.95,-0.095,"[10, 7, -1]","[10, -1, -1]",0.0,0.9025,"[10, 7, 20]",False
20,0.95,-0.1,"[10, 7, 20]","[10, 7, -1]",-0.1,0.95,"[10, 7, 20]",True
7,0.95,-0.09025,"[7, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[7, 14, 15]",False
14,0.95,-0.095,"[7, 14, -1]","[7, -1, -1]",0.0,0.9025,"[7, 14, 15]",False
15,0.95,-0.1,"[7, 14, 15]","[7, 14, -1]",-0.1,0.95,"[7, 14, 15]",True
0,0.95,-0.09025,"[0, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[0, 17, 2]",False
17,0.95,-0.095,"[0, 17, -1]","[0, -1, -1]",0.0,0.9025,"[0, 17, 2]",False
2,0.95,-0.1,"[0, 17, 2]","[0, 17, -1]",-0.1,0.95,"[0, 17, 2]",True
22,0.95,-0.09025,"[22, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[22, 0, 12]",False
0,0.95,-0.095,"[22, 0, -1]","[22, -1, -1]",0.0,0.9025,"[22, 0, 12]",False
12,0.95,-0.1,"[22, 0, 12]","[22, 0, -1]",-0.1,0.95,"[22, 0, 12]",True
1,0.95,-0.09025,"[1, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[1, 24, 12]",False
24,0.95,-0.095,"[1, 24, -1]","[1, -1, -1]",0.0,0.9025,"[1, 24, 12]",False
12,0.95,-0.1,"[1, 24, 12]","[1, 24, -1]",-0.1,0.95,"[1, 24, 12]",True
12,0.95,-0.09025,"[12, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[12, 0, 19]",False
0,0.95,-0.095,"[12, 0, -1]","[12, -1, -1]",0.0,0.9025,"[12, 0, 19]",False
19,0.95,-0.1,"[12, 0, 19]","[12, 0, -1]",-0.1,0.95,"[12, 0, 19]",True
3,0.95,-0.09025,"[3, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[3, 20, 4]",False
20,0.95,-0.095,"[3, 20, -1]","[3, -1, -1]",0.0,0.9025,"[3, 20, 4]",False
4,0.95,-0.1,"[3, 20, 4]","[3, 20, -1]",-0.1,0.95,"[3, 20, 4]",True
3,0.95,-0.09025,"[3, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[3, 0, 12]",False
0,0.95,-0.095,"[3, 0, -1]","[3, -1, -1]",0.0,0.9025,"[3, 0, 12]",False
12,0.95,-0.1,"[3, 0, 12]","[3, 0, -1]",-0.1,0.95,"[3, 0, 12]",True
12,0.95,-0.09025,"[12, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[12, 0, 19]",False
0,0.95,-0.095,"[12, 0, -1]","[12, -1, -1]",0.0,0.9025,"[12, 0, 19]",False
19,0.95,-0.1,"[12, 0, 19]","[12, 0, -1]",-0.1,0.95,"[12, 0, 19]",True
9,0.95,-0.09025,"[9, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[9, 7, 8]",False
7,0.95,-0.095,"[9, 7, -1]","[9, -1, -1]",0.0,0.9025,"[9, 7, 8]",False
8,0.95,-0.1,"[9, 7, 8]","[9, 7, -1]",-0.1,0.95,"[9, 7, 8]",True
8,0.95,-0.09025,"[8, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[8, 13, 2]",False
13,0.95,-0.095,"[8, 13, -1]","[8, -1, -1]",0.0,0.9025,"[8, 13, 2]",False
2,0.95,-0.1,"[8, 13, 2]","[8, 13, -1]",-0.1,0.95,"[8, 13, 2]",True
3,0.95,-0.09025,"[3, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[3, 20, 24]",False
20,0.95,-0.095,"[3, 20, -1]","[3, -1, -1]",0.0,0.9025,"[3, 20, 24]",False
24,0.95,-0.1,"[3, 20, 24]","[3, 20, -1]",-0.1,0.95,"[3, 20, 24]",True
7,0.95,-0.09025,"[7, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[7, 4, 15]",False
4,0.95,-0.095,"[7, 4, -1]","[7, -1, -1]",0.0,0.9025,"[7, 4, 15]",False
15,0.95,-0.1,"[7, 4, 15]","[7, 4, -1]",-0.1,0.95,"[7, 4, 15]",True
8,0.95,-0.09025,"[8, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[8, 1, 2]",False
1,0.95,-0.095,"[8, 1, -1]","[8, -1, -1]",0.0,0.9025,"[8, 1, 2]",False
2,0.95,-0.1,"[8, 1, 2]","[8, 1, -1]",-0.1,0.95,"[8, 1, 2]",True
15,0.95,-0.09025,"[15, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[15, 14, 0]",False
14,0.95,-0.095,"[15, 14, -1]","[15, -1, -1]",0.0,0.9025,"[15, 14, 0]",False
0,0.95,-0.1,"[15, 14, 0]","[15, 14, -1]",-0.1,0.95,"[15, 14, 0]",True
4,0.95,-0.09025,"[4, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[4, 4, 17]",False
4,0.95,-0.095,"[4, 4, -1]","[4, -1, -1]",0.0,0.9025,"[4, 4, 17]",False
17,0.95,-0.1,"[4, 4, 17]","[4, 4, -1]",-0.1,0.95,"[4, 4, 17]",True
0,0.95,-0.09025,"[0, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[0, 2, 12]",False
2,0.95,-0.095,"[0, 2, -1]","[0, -1, -1]",0.0,0.9025,"[0, 2, 12]",False
12,0.95,-0.1,"[0, 2, 12]","[0, 2, -1]",-0.1,0.95,"[0, 2, 12]",True
3,0.95,-0.09025,"[3, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[3, 14, 6]",False
14,0.95,-0.095,"[3, 14, -1]","[3, -1, -1]",0.0,0.9025,"[3, 14, 6]",False
6,0.95,-0.1,"[3, 14, 6]","[3, 14, -1]",-0.1,0.95,"[3, 14, 6]",True
1,0.95,-0.09025,"[1, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[1, 4, 19]",False
4,0.95,-0.095,"[1, 4, -1]","[1, -1, -1]",0.0,0.9025,"[1, 4, 19]",False
19,0.95,-0.1,"[1, 4, 19]","[1, 4, -1]",-0.1,0.95,"[1, 4, 19]",True
19,0.95,-0.09025,"[19, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[19, 18, 7]",False
18,0.95,-0.095,"[19, 18, -1]","[19, -1, -1]",0.0,0.9025,"[19, 18, 7]",False
7,0.95,-0.1,"[19, 18, 7]","[19, 18, -1]",-0.1,0.95,"[19, 18, 7]",True
14,0.95,-0.09025,"[14, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[14, 3, 3]",False
3,0.95,-0.095,"[14, 3, -1]","[14, -1, -1]",0.0,0.9025,"[14, 3, 3]",False
3,0.95,-0.1,"[14, 3, 3]","[14, 3, -1]",-0.1,0.95,"[14, 3, 3]",True
19,0.95,-0.09025,"[19, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[19, 0, 3]",False
0,0.95,-0.095,"[19, 0, -1]","[19, -1, -1]",0.0,0.9025,"[19, 0, 3]",False
3,0.95,-0.1,"[19, 0, 3]","[19, 0, -1]",-0.1,0.95,"[19, 0, 3]",True
3,0.95,-0.09025,"[3, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[3, 0, 6]",False
0,0.95,-0.095,"[3, 0, -1]","[3, -1, -1]",0.0,0.9025,"[3, 0, 6]",False
6,0.95,-0.1,"[3, 0, 6]","[3, 0, -1]",-0.1,0.95,"[3, 0, 6]",True
12,0.95,-0.09025,"[12, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[12, 6, 19]",False
6,0.95,-0.095,"[12, 6, -1]","[12, -1, -1]",0.0,0.9025,"[12, 6, 19]",False
19,0.95,-0.1,"[12, 6, 19]","[12, 6, -1]",-0.1,0.95,"[12, 6, 19]",True
18,0.95,-0.09025,"[18, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[18, 7, 4]",False
7,0.95,-0.095,"[18, 7, -1]","[18, -1, -1]",0.0,0.9025,"[18, 7, 4]",False
4,0.95,-0.1,"[18, 7, 4]","[18, 7, -1]",-0.1,0.95,"[18, 7, 4]",True
7,0.95,-0.09025,"[7, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[7, 14, 7]",False
14,0.95,-0.095,"[7, 14, -1]","[7, -1, -1]",0.0,0.9025,"[7, 14, 7]",False
7,0.95,-0.1,"[7, 14, 7]","[7, 14, -1]",-0.1,0.95,"[7, 14, 7]",True
13,0.95,-0.09025,"[13, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[13, 8, 12]",False
8,0.95,-0.095,"[13, 8, -1]","[13, -1, -1]",0.0,0.9025,"[13, 8, 12]",False
12,0.95,-0.1,"[13, 8, 12]","[13, 8, -1]",-0.1,0.95,"[13, 8, 12]",True
8,0.95,-0.09025,"[8, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[8, 6, 19]",False
6,0.95,-0.095,"[8, 6, -1]","[8, -1, -1]",0.0,0.9025,"[8, 6, 19]",False
19,0.95,-0.1,"[8, 6, 19]","[8, 6, -1]",-0.1,0.95,"[8, 6, 19]",True
17,0.95,-0.09025,"[17, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[17, 0, 22]",False
0,0.95,-0.095,"[17, 0, -1]","[17, -1, -1]",0.0,0.9025,"[17, 0, 22]",False
22,0.95,-0.1,"[17, 0, 22]","[17, 0, -1]",-0.1,0.95,"[17, 0, 22]",True
10,0.95,-0.09025,"[10, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[10, 21, 13]",False
21,0.95,-0.095,"[10, 21, -1]","[10, -1, -1]",0.0,0.9025,"[10, 21, 13]",False
13,0.95,-0.1,"[10, 21, 13]","[10, 21, -1]",-0.1,0.95,"[10, 21, 13]",True
8,0.95,-0.09025,"[8, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[8, 1, 2]",False
1,0.95,-0.095,"[8, 1, -1]","[8, -1, -1]",0.0,0.9025,"[8, 1, 2]",False
2,0.95,-0.1,"[8, 1, 2]","[8, 1, -1]",-0.1,0.95,"[8, 1, 2]",True
11,0.95,-0.09025,"[11, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[11, 11, 4]",False
11,0.95,-0.095,"[11, 11, -1]","[11, -1, -1]",0.0,0.9025,"[11, 11, 4]",False
4,0.95,-0.1,"[11, 11, 4]","[11, 11, -1]",-0.1,0.95,"[11, 11, 4]",True
2,0.95,-0.09025,"[2, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[2, 18, 25]",False
18,0.95,-0.095,"[2, 18, -1]","[2, -1, -1]",0.0,0.9025,"[2, 18, 25]",False
25,0.95,-0.1,"[2, 18, 25]","[2, 18, -1]",-0.1,0.95,"[2, 18, 25]",True
11,0.95,-0.09025,"[11, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[11, 0, 8]",False
0,0.95,-0.095,"[11, 0, -1]","[11, -1, -1]",0.0,0.9025,"[11, 0, 8]",False
8,0.95,-0.1,"[11, 0, 8]","[11, 0, -1]",-0.1,0.95,"[11, 0, 8]",True
0,0.95,-0.09025,"[0, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[0, 23, 1]",False
23,0.95,-0.095,"[0, 23, -1]","[0, -1, -1]",0.0,0.9025,"[0, 23, 1]",False
1,0.95,-0.1,"[0, 23, 1]","[0, 23, -1]",-0.1,0.95,"[0, 23, 1]",True
12,0.95,-0.09025,"[12, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[12, 4, 13]",False
4,0.95,-0.095,"[12, 4, -1]","[12, -1, -1]",0.0,0.9025,"[12, 4, 13]",False
13,0.95,-0.1,"[12, 4, 13]","[12, 4, -1]",-0.1,0.95,"[12, 4, 13]",True
14,0.95,-0.09025,"[14, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[14, 17, 4]",False
17,0.95,-0.095,"[14, 17, -1]","[14, -1, -1]",0.0,0.9025,"[14, 17, 4]",False
4,0.95,-0.1,"[14, 17, 4]","[14, 17, -1]",-0.1,0.95,"[14, 17, 4]",True
0,0.95,-0.09025,"[0, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[0, 2, 17]",False
2,0.95,-0.095,"[0, 2, -1]","[0, -1, -1]",0.0,0.9025,"[0, 2, 17]",False
17,0.95,-0.1,"[0, 2, 17]","[0, 2, -1]",-0.1,0.95,"[0, 2, 17]",True
19,0.95,-0.09025,"[19, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[19, 12, 14]",False
12,0.95,-0.095,"[19, 12, -1]","[19, -1, -1]",0.0,0.9025,"[19, 12, 14]",False
14,0.95,-0.1,"[19, 12, 14]","[19, 12, -1]",-0.1,0.95,"[19, 12, 14]",True
14,0.95,-0.09025,"[14, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[14, 2, 17]",False
2,0.95,-0.095,"[14, 2, -1]","[14, -1, -1]",0.0,0.9025,"[14, 2, 17]",False
17,0.95,-0.1,"[14, 2, 17]","[14, 2, -1]",-0.1,0.95,"[14, 2, 17]",True
8,0.95,-0.09025,"[8, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[8, 11, 10]",False
11,0.95,-0.095,"[8, 11, -1]","[8, -1, -1]",0.0,0.9025,"[8, 11, 10]",False
10,0.95,-0.1,"[8, 11, 10]","[8, 11, -1]",-0.1,0.95,"[8, 11, 10]",True
0,0.95,-0.09025,"[0, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[0, 2, 12]",False
2,0.95,-0.095,"[0, 2, -1]","[0, -1, -1]",0.0,0.9025,"[0, 2, 12]",False
12,0.95,-0.1,"[0, 2, 12]","[0, 2, -1]",-0.1,0.95,"[0, 2, 12]",True
1,0.95,-0.09025,"[1, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[1, 13, 3]",False
13,0.95,-0.095,"[1, 13, -1]","[1, -1, -1]",0.0,0.9025,"[1, 13, 3]",False
3,0.95,-0.1,"[1, 13, 3]","[1, 13, -1]",-0.1,0.95,"[1, 13, 3]",True
7,0.95,-0.09025,"[7, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[7, 4, 8]",False
4,0.95,-0.095,"[7, 4, -1]","[7, -1, -1]",0.0,0.9025,"[7, 4, 8]",False
8,0.95,-0.1,"[7, 4, 8]","[7, 4, -1]",-0.1,0.95,"[7, 4, 8]",True
15,0.95,-0.09025,"[15, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[15, 4, 13]",False
4,0.95,-0.095,"[15, 4, -1]","[15, -1, -1]",0.0,0.9025,"[15, 4, 13]",False
13,0.95,-0.1,"[15, 4, 13]","[15, 4, -1]",-0.1,0.95,"[15, 4, 13]",True
10,0.95,-0.09025,"[10, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[10, 14, 24]",False
14,0.95,-0.095,"[10, 14, -1]","[10, -1, -1]",0.0,0.9025,"[10, 14, 24]",False
24,0.95,-0.1,"[10, 14, 24]","[10, 14, -1]",-0.1,0.95,"[10, 14, 24]",True
16,0.95,-0.09025,"[16, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[16, 8, 0]",False
8,0.95,-0.095,"[16, 8, -1]","[16, -1, -1]",0.0,0.9025,"[16, 8, 0]",False
0,0.95,-0.1,"[16, 8, 0]","[16, 8, -1]",-0.1,0.95,"[16, 8, 0]",True
4,0.95,-0.09025,"[4, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[4, 13, 0]",False
13,0.95,-0.095,"[4, 13, -1]","[4, -1, -1]",0.0,0.9025,"[4, 13, 0]",False
0,0.95,-0.1,"[4, 13, 0]","[4, 13, -1]",-0.1,0.95,"[4, 13, 0]",True
10,0.95,-0.09025,"[10, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[10, 8, 6]",False
8,0.95,-0.095,"[10, 8, -1]","[10, -1, -1]",0.0,0.9025,"[10, 8, 6]",False
6,0.95,-0.1,"[10, 8, 6]","[10, 8, -1]",-0.1,0.95,"[10, 8, 6]",True
17,0.95,-0.09025,"[17, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[17, 0, 2]",False
0,0.95,-0.095,"[17, 0, -1]","[17, -1, -1]",0.0,0.9025,"[17, 0, 2]",False
2,0.95,-0.1,"[17, 0, 2]","[17, 0, -1]",-0.1,0.95,"[17, 0, 2]",True
15,0.95,-0.09025,"[15, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[15, 8, 13]",False
8,0.95,-0.095,"[15, 8, -1]","[15, -1, -1]",0.0,0.9025,"[15, 8, 13]",False
13,0.95,-0.1,"[15, 8, 13]","[15, 8, -1]",-0.1,0.95,"[15, 8, 13]",True
8,0.95,-0.09025,"[8, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[8, 5, 15]",False
5,0.95,-0.095,"[8, 5, -1]","[8, -1, -1]",0.0,0.9025,"[8, 5, 15]",False
15,0.95,-0.1,"[8, 5, 15]","[8, 5, -1]",-0.1,0.95,"[8, 5, 15]",True
18,0.95,-0.09025,"[18, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[18, 15, 4]",False
15,0.95,-0.095,"[18, 15, -1]","[18, -1, -1]",0.0,0.9025,"[18, 15, 4]",False
4,0.95,-0.1,"[18, 15, 4]","[18, 15, -1]",-0.1,0.95,"[18, 15, 4]",True
12,0.95,-0.09025,"[12, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[12, 4, 1]",False
4,0.95,-0.095,"[12, 4, -1]","[12, -1, -1]",0.0,0.9025,"[12, 4, 1]",False
1,0.95,-0.1,"[12, 4, 1]","[12, 4, -1]",-0.1,0.95,"[12, 4, 1]",True
20,0.95,-0.09025,"[20, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[20, 6, 19]",False
6,0.95,-0.095,"[20, 6, -1]","[20, -1, -1]",0.0,0.9025,"[20, 6, 19]",False
19,0.95,-0.1,"[20, 6, 19]","[20, 6, -1]",-0.1,0.95,"[20, 6, 19]",True
9,0.95,-0.09025,"[9, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[9, 0, 13]",False
0,0.95,-0.095,"[9, 0, -1]","[9, -1, -1]",0.0,0.9025,"[9, 0, 13]",False
13,0.95,-0.1,"[9, 0, 13]","[9, 0, -1]",-0.1,0.95,"[9, 0, 13]",True
19,0.95,-0.09025,"[19, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[19, 14, 22]",False
14,0.95,-0.095,"[19, 14, -1]","[19, -1, -1]",0.0,0.9025,"[19, 14, 22]",False
22,0.95,-0.1,"[19, 14, 22]","[19, 14, -1]",-0.1,0.95,"[19, 14, 22]",True
14,0.95,-0.09025,"[14, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[14, 15, 19]",False
15,0.95,-0.095,"[14, 15, -1]","[14, -1, -1]",0.0,0.9025,"[14, 15, 19]",False
19,0.95,-0.1,"[14, 15, 19]","[14, 15, -1]",-0.1,0.95,"[14, 15, 19]",True
4,0.95,-0.09025,"[4, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[4, 11, 4]",False
11,0.95,-0.095,"[4, 11, -1]","[4, -1, -1]",0.0,0.9025,"[4, 11, 4]",False
4,0.95,-0.1,"[4, 11, 4]","[4, 11, -1]",-0.1,0.95,"[4, 11, 4]",True
25,0.95,-0.09025,"[25, -1, -1]","[-1, -1, -1]",0.0,0.8573749999999999,"[25, 20, 0]",False
20,0.95,-0.095,"[25, 20, -1]","[25, -1, -1]",0.0,0.9025,"[25, 20, 0]",False
0,0.95,-0.1,"[25, 20, 0]","[25, 20, -1]",-0.1,0.95,"[25, 20, 0]",True
